"id","name","net_income","net_cash_flow","roe","roa","ebitda","sector","cumulation","investment_level"
1,"11 bit studios","8482.91","-15400.29","3.60","3.20","29015.60","technology and engineering",1,"low"
2,"3R Games","-10.00","-370.00","-0.04","-0.04","-11.00","technology and engineering",0,"low"
3,"4MASS","2298.11","-692.12","0.23","0.17","4148.93","consumer goods and e-commerce",0,"high"
4,"ABPL","135149.00","28177.00","9.10","3.90","222478.00","technology and engineering",1,"middle"
5,"ACAutogaz","9773.00","1778.00","6.30","4.40","18660.00","transport and motorization",1,"low"
6,"Action","7711.00","-20798.00","0.08","0.05","12734.00","technology and engineering",0,"high"
7,"Adiuvo","632.00","99.00","-1.90","-0.52","408.00","health and life sciences",0,"middle"
8,"Agora","-13036.00","-14788.00","-2.00","-0.70","118514.00","communication technologies and media",1,"low"
9,"Agroton","-2634.00","-1467.00","-2.80","-2.70","-3488.00","agriculture and food industry",0,"low"
10,"Ailleron","658.00","-19889.00","0.22","0.09","20844.00","technology and engineering",0,"high"
11,"Airway","-1072.00","-1972.00","-4.20","-3.95","-1357.00","health and life sciences",0,"low"
12,"Alior Bank","1116540.00","3407050.00","9.70","1.12","1736206.00","financial and insurance",1,"high"
13,"AIGAMES","1602.23","-16.85","-23.70","-0.01","-354.17","technology and engineering",0,"middle"
14,"Allegro","296500.00","-259500.00","0.11","0.06","710500.00","consumer goods and e-commerce",0,"middle"
15,"Alta","-709.00","-105.00","-0.03","-0.03","-699.00","real estate and construction",0,"low"
16,"Altus","3108.00","2366.00","0.11","0.10","2421.00","financial and insurance",0,"high"
17,"Ambra","38559.00","4752.00","9.10","4.90","99201.00","agriculture and food industry",1,"high"
18,"Amica","-6700.00","-28600.00","0.00","0.00","18400.00","technology and engineering",0,"low"
19,"Amrest","13000.00","-30200.00","0.02","0.00","82300.00","hospitality industry",0,"middle"
20,"Answear","3660.00","-22315.00","-0.01","0.00","9915.00","consumer goods and e-commerce",0,"middle"
21,"Apator","12029.00","6564.00","0.12","0.07","34970.00","manufacturing industry",0,"high"
22,"APLISENS","8364.00","1151.00","3.80","3.40","15158.00","manufacturing industry",1,"high"
23,"APSENERGY","-1952.00","-1214.00","-1.09","-0.32","-621.00","manufacturing industry",0,"low"
24,"Archicom","-32220.00","-43731.00","0.01","0.01","-31172.00","real estate and construction",0,"low"
25,"Arctic","-58845.00","-55336.00","-4.20","-2.11","-30563.00","manufacturing industry",1,"low"
26,"Arlen","48348.00","45390.00","0.24","0.18","76217.00","consumer goods and e-commerce",1,"middle"
27,"Artifex","8543.11","-1834.67","0.28","0.23","8094.58","technology and engineering",0,"high"
28,"AS Silvano","2752.00","-8151.00","0.21","0.17","2165.00","consumer goods and e-commerce",0,"middle"
29,"ASMGroup","-1421.00","3053.00","0.37","0.10","1713.00","communication technologies and media",0,"high"
30,"AssecoPol","136200.00","-116200.00","0.15","0.07","682900.00","technology and engineering",0,"high"
31,"AssecoBS","50750.00","-38663.00","15.20","10.70","74423.00","technology and engineering",0,"high"
32,"Astarta","42271.00","-13679.00","8.00","5.66","80876.00","agriculture and food industry",1,"high"
33,"Atal","17067.00","-425.00","0.13","0.06","32319.00","real estate and construction",0,"high"
34,"Atende","1914.00","-43231.00","-0.12","-0.04","5916.00","technology and engineering",0,"middle"
35,"ATMGrupa","3290.00","-121.00","0.08","0.06","13714.00","communication technologies and media",0,"high"
36,"Atrem","10747.00","564.00","23.20","5.80","13359.00","real estate and construction",1,"high"
37,"Auto Partner","39236.00","20797.00","0.18","0.11","71038.00","transport and motorization",0,"high"
38,"Bank Handlowy","600530.00","5390692.00","6.50","0.72","1182890.00","financial and insurance",1,"middle"
39,"Bank Millennium","510746.00","-1100597.00","6.10","0.35","1092099.00","financial and insurance",1,"low"
40,"Bank Ochrony Środowiska","79721.00","961299.00","3.40","0.34","147955.00","financial and insurance",1,"low"
41,"Pekao","3286000.00","3663000.00","10.50","1.40","5093000.00","financial and insurance",1,"high"
42,"BBI Development","1158.00","9214.00","0.02","0.01","-762.00","real estate and construction",0,"middle"
43,"Benefit Systems","199610.00","437296.00","9.80","3.30","524970.00","commercial services",1,"high"
44,"Best","4381.00","41757.00","0.10","0.05","31661.00","real estate and construction",0,"high"
45,"Betacom","2046.00","11143.00","0.08","0.03","5758.00","technology and engineering",1,"low"
46,"Big Cheese Studio","300.00","-524.00","0.19","0.16","691.00","technology and engineering",0,"middle"
47,"BioPlanet","2397.00","-230.00","0.12","0.03","4000.00","consumer goods and e-commerce",0,"high"
48,"Bioceltix","-3794.06","-1060.38","-0.44","-0.39","-3636.00","health and life sciences",0,"low"
49,"Biomaxima","589.00","-332.00","0.02","0.01","1822.00","health and life sciences",0,"high"
50,"Bioton","-5808.00","-4224.00","-0.03","-0.02","5372.00","chemicals and health products",0,"middle"
51,"BNP Paribas","1475294.00","-2586135.00","9.30","0.88","2381979.00","financial and insurance",1,"middle"
52,"Boombit","10.00","-1669.00","0.03","0.02","5093.00","technology and engineering",0,"low"
53,"Boryszew","9059.00","-7788.00","0.64","0.26","121148.00","manufacturing industry",1,"middle"
54,"Bowim","-1895.35","1829.30","-0.05","-0.03","5830.08","manufacturing industry",0,"middle"
55,"BRAND24","1089.00","855.00","0.06","0.03","1937.00","technology and engineering",0,"high"
56,"Braster","-616.00","-7.00","12.20","-0.21","-113.00","health and life sciences",0,"high"
57,"Budimex","270483.00","-1143529.00","31.70","3.68","386149.00","real estate and construction",1,"high"
58,"Bumech","-416.00","7221.00",NULL,"-1.32","12266.00","manufacturing industry",0,"middle"
59,"Capitea","11960.00","-35896.00","0.45","0.14","17719.00","real estate and construction",0,"high"
60,"Captorx","-10719.00","-22633.00","-0.73","-0.51","-9490.00","health and life sciences",0,"low"
61,"Caspar","773.00","72.00","0.06","0.05","1706.00","financial and insurance",0,"high"
62,"Cavatina","150.00","-112.00","0.01","0.00","3625.00","real estate and construction",0,"middle"
63,"CCC","956900.00","194700.00","0.71","0.12","1634700.00","consumer goods and e-commerce",1,"middle"
64,"CD Project","154956.00","22088.00","5.40","4.90","201298.00","technology and engineering",1,"high"
65,"CDRL","-1922.00","-15038.00","2.10","1.00","1870.00","consumer goods and e-commerce",1,"middle"
66,"Celon Pharma","-25086.00","-3481.00","-0.10","-0.08","-5501.00","chemicals and health products",0,"low"
67,"CEZ","16653000.00","30256000.00","7.20","1.90","75817000.00","energy technology",1,"high"
68,"CFI","2096.00","-2447.00","0.02","0.01","10009.00","hospitality industry",0,"low"
69,"CI Games","1001.00","911.00","-0.04","-0.02","8125.00","technology and engineering",0,"middle"
70,"CityServ","4287.00","-463.00","15.60","4.60","5441.00","commercial services",1,"middle"
71,"CCEnergy","-54.00","-265.00","-0.02","-0.01","-54.00","real estate and construction",0,"low"
72,"Cloud","66.29","1928.92","0.13","0.11","4439.29","technology and engineering",0,"high"
73,"Cognor","-13982.00","-78764.00","-0.06","-0.03","6010.00","manufacturing industry",0,"low"
74,"Columbus","-17175.00","-6895.00",NULL,"-0.06","-3293.00","energy technology",0,"low"
75,"Comp","35600.00","-173655.00","7.60","4.40","72138.00","technology and engineering",1,"middle"
76,"Comperia","-1568.00","-2037.00","-0.35","-0.24","-530.00","communication technologies and media",0,"low"
77,"Compremum","-11742.00","-234.00","-0.29","-0.13","-3916.00","real estate and construction",0,"low"
78,"CPD","-112.00","111.00",NULL,"-8.43","-100.00","real estate and construction",0,"low"
79,"CPI Europe","52527.00","88233.00","0.03","0.01","90693.00","real estate and construction",0,"middle"
80,"Creepy Jar","4997.83","7859.07","0.17","0.16","5159.83","technology and engineering",0,"high"
81,"Creotech","1404.00","74270.00","-0.17","-0.09","4529.00","technology and engineering",0,"middle"
82,"Cyber-Folks","13346.00","45104.00","0.31","0.15","56846.00","technology and engineering",0,"high"
83,"Cyfrowy Polsat","195500.00","-280400.00","1.20","0.52","1854000.00","communication technologies and media",1,"middle"
84,"Czerwona Torebka","-2889.00","2980.00","-0.11","-0.06","-497.00","real estate and construction",0,"low"
85,"Dadelo","16972.00","-11119.00","12.60","5.60","26827.00","consumer goods and e-commerce",1,"middle"
86,"Datawalk","-51306.00","31068.00",NULL,"-42.00","-58578.00","technology and engineering",1,"low"
87,"DB Energy","160.06","1271.67","0.62","0.22","2609.82","energy technology",1,"low"
88,"Decora","38707.00","-2248.00","11.10","7.40","61759.00","real estate and construction",1,"high"
89,"Dekpol","30417.00","7189.00","0.17","0.06","51022.00","real estate and construction",0,"high"
